"nodeid","nodeip","timestamp","startDelay","skipDelay","experimentID"
"anateus.ipv6.lip6.fr","132.227.62.85","1421837401632","8","10","1"
"empusa.ipv6.lip6.fr","132.227.62.96","1421837401926","9","10","1"
"host1.planetlab.informatik.tu-darmstadt.de","130.83.166.243","1421837401835","5","7","1"
"icnalplabs2.epfl.ch","192.33.193.18","1421837398089","4","4","1"
"node1.planetlab.uni-luebeck.de","141.83.148.101","1421837403083","25","4","1"
"host3.planetlab.informatik.tu-darmstadt.de","130.83.166.247","1421837403808","81","7","1"
"iraplab2.iralab.uni-karlsruhe.de","193.196.39.10","1421834757686","2591","1844","1"
"merkur.planetlab.haw-hamburg.de","141.22.213.34","1421837404997","2364","1727","1"
"peeramidion.irisa.fr","131.254.208.11","1421837405577","2323","1467","1"
"planetlab-1.fhi-fokus.de","193.175.135.58","1421837411003","125","11","1"
"planetlab-1.ing.unimo.it","155.185.54.249","1421837410789","151","6","1"
"pl1.tailab.eu","194.79.147.164","1421837411345","55","5","1"
"onelab4.warsaw.rd.tp.pl","195.116.53.24","1421837406273","3048","2741","1"
"planetlab-2.ing.unimo.it","155.185.54.250","1421837412239","62","6","1"
"pl2.tailab.eu","194.79.147.165","1421837412236","112","5","1"
"planetlab-2.fhi-fokus.de","193.175.135.59","1421837412789","227","38","1"
"pl1.bell-labs.fr","159.217.144.110","1421837406112","5775","2087","1"
"flow.colgate.edu","149.43.80.22","1421837403042","5961","5686","1"
"ebb.colgate.edu","149.43.80.20","1421837402717","7059","6291","1"
"75-130-96-12.static.oxfr.ma.charter.com","75.130.96.12","1421837405191","5925","4801","1"
"planetlab1.csg.uzh.ch","192.41.136.218","1421837069862","69","4","1"
"planetlab1.net.in.tum.de","138.246.253.1","1421837418004","23","7","1"
"cs-planetlab4.cs.surrey.sfu.ca","206.12.16.155","1421837405307","9695","7660","1"
"planetlab-1.ssvl.kth.se","192.16.125.11","1421837414419","2084","10075","1"
"planetlab-um10.di.uminho.pt","193.136.19.29","1421837414382","8440","4218","1"
"planetlab3.net.in.tum.de","138.246.253.3","1421837428717","91","43","1"
"pl1.cs.yale.edu","128.36.233.153","1421837406596","8299","14391","1"
"planetlab2.eecs.jacobs-university.de","212.201.44.82","1421837429008","746","28","1"
"planetlab-13.e5.ijs.si","193.138.2.13","1421837411614","11877","6445","1"
"sybaris.ipv6.lip6.fr","132.227.62.99","1421837431029","8","10","1"
"planetlab1.arizona-gigapop.net","206.207.248.34","1421837223010","7946","5518","1"
"planetlab1.cs.uit.no","129.242.19.196","1421837418510","7296","6362","1"
"planet3.cc.gt.atl.ga.us","143.215.131.198","1421837415448","9324","10452","1"
"planetlab1.unr.edu","134.197.113.3","1421837422795","4988","10739","1"
"planetlab0.otemachi.wide.ad.jp","203.178.133.2","1421837420014","11080","9193","1"
"planetlab1.cs.umass.edu","128.119.247.251","1421837421101","10781","10131","1"
"planetlab02.alucloud.com","135.109.221.104","1421837415935","8862","18931","1"
"planetlab02.tkn.tu-berlin.de","130.149.49.137","1421837414493","8293","21676","1"
"planetlab1.cs.ucla.edu","131.179.150.70","1421837422220","5701","17290","1"
"planetlab1.csuohio.edu","137.148.16.10","1421837420846","3617","21021","1"
"planetlab-coffee.ait.ie","193.1.13.12","1421837413002","3440","31899","1"
